Distribution Centers:
(10, 10)
(20, 20)
(30, 30)
(10, 30)
(30, 10)

Delivery Docks:
(13.553540533053757, 12.368631111798008)
(15.221943703108174, 14.301926127763734)
(15.490337870747915, 15.208644206049815)
(8.334638990631507, 1.855310236818493)
(3.709206742070964, 4.5235217692295695)
(5.949696005141169, 18.345702507351078)
(1.8947176349546044, 14.507048256325298)
(9.320450552464067, 9.150885135903213)
(12.576156561117257, 11.341397269300755)
(14.591867180415635, 4.981023806765102)
(19.52700538560673, 21.247384854331433)
(19.725002147560755, 14.57724911683534)
(22.550969267995022, 23.802887160263527)
(18.207039100545426, 24.50716618122753)
(20.393729193725225, 27.992326337213107)
(22.10526115414836, 20.186449820970054)
(11.9377468582777, 19.153673153529258)
(20.669709794578328, 10.44769183805386)
(28.91901137247624, 24.227582815628033)
(19.14715765736698, 22.62562805177868)
(30.656079917382407, 31.366285164782838)
(26.090225890442102, 39.07329873887377)
(26.682869923320375, 26.09125489306643)
(25.37200845563401, 31.408142120574848)
(21.168113311298686, 30.754450607042365)
(36.543110371595525, 30.40945975492256)
(36.60980544328643, 31.329689229072233)
(29.48468361402708, 31.51405151026863)
(36.93654979693866, 32.852198044299065)
(24.27310138847964, 27.144282880815076)
(13.688312385269295, 32.81760269700203)
(17.599763929475415, 27.517959271889282)
(5.075686418200414, 23.275454556816783)
(12.79840876291406, 26.764344646920037)
(16.384499182222818, 31.66472302785089)
(9.83967026655791, 26.84422502686266)
(12.623815380655351, 30.025865587239604)
(5.283335285909841, 30.419610217624342)
(13.607083036213995, 30.78971884271127)
(14.092430138126677, 37.60691001752374)
(33.43274454598903, 8.418497978500888)
(22.402286144610013, 7.114666487403097)
(27.372192061123286, 4.652815949891499)
(20.816222648005887, 10.182923802254868)
(33.79513981493658, 4.706452609938602)
(25.46772492385105, 12.281852587733232)
(24.02957291819762, 13.488300423782489)
(25.708250273858145, 8.194396907425435)
(27.858598662346818, 9.928744949679267)
(30.244977888991563, 2.768281776763099)
